央视频道,#genre#
中国教育1台,http://115.171.216.84:4000/rtp/225.1.8.32:8152
中国教育1台,http://115.171.216.84:4000/rtp/225.1.8.169:4120
中国教育1台,http://121.239.179.141:8000/rtp/239.49.8.115:8000
中国教育2台,http://115.171.216.84:4000/rtp/225.1.8.193:4120
中国教育3台,http://115.171.216.84:4000/rtp/225.1.8.194:4120
中国教育4台,http://115.171.216.84:4000/rtp/225.1.8.195:4120
中国教育4台,http://121.239.179.141:8000/rtp/239.49.0.125:8000

数字频道,#genre#
淘电影,http://115.171.216.84:4000/rtp/225.1.8.38:8002
淘精彩,http://115.171.216.84:4000/rtp/225.1.8.33:8002
淘剧场,http://115.171.216.84:4000/rtp/225.1.8.37:8002
淘娱乐,http://115.171.216.84:4000/rtp/225.1.8.61:8002
淘BABY,http://115.171.216.84:4000/rtp/225.1.8.36:8002
淘萌宠,http://115.171.216.84:4000/rtp/225.1.8.63:8002
纪实人文,http://115.171.216.84:4000/rtp/225.1.8.53:8060
金鹰纪实,http://115.171.216.84:4000/rtp/225.1.8.31:8156
金鹰纪实,http://121.239.179.141:8000/rtp/239.49.8.79:8000
快乐垂钓,http://115.171.216.84:4000/rtp/225.1.8.71:8002
茶频道,http://115.171.216.84:4000/rtp/225.1.8.72:8002
梨园频道,http://121.239.179.141:8000/rtp/239.49.8.193:8000
文物宝库,http://121.239.179.141:8000/rtp/239.49.0.209:8000
武术世界,http://121.239.179.141:8000/rtp/239.49.0.205:8000
卡酷少儿,http://115.171.216.84:4000/rtp/225.1.8.35:8000
金鹰卡通,http://115.171.216.84:4000/rtp/225.1.8.163:9252
金鹰卡通,http://121.239.179.141:8000/rtp/239.49.8.33:8000
优漫卡通,http://121.239.179.141:8000/rtp/239.49.8.119:8000
嘉佳卡通,http://115.171.216.84:4000/rtp/225.1.8.170:9268

